File,Container,Duration,Video Codec,Resolution,Framerate,Bitrate,Audio Codec,Bitrate,Samplerate,Channels,Resolution
big_buck_bunny_480p_H264_AAC_25fps_1800K.MP4,MPEG-4,75,AVC Baseline@L1.3,854x480,25,1815,AAC LC,96,44.1,2,16
big_buck_bunny_480p_VP8_VORBIS_25fps_1900K.WebM,Matroska,75,VP8,854x480,25,1928,Vorbis,80,44.1,2,16
